ISIN,fyear,BEME,OP,INV
AU0000003PL9,2014,0.0405,1.0001,0.4157
AU0000003PL9,2015,0.0925,0.6415,0.5098
AU0000003PL9,2016,0.2351,0.3381,0.428
AU0000003PL9,2017,0.1292,0.5862,-0.1879
AU0000004053,2006,0.189,-0.1367,7.0842
AU0000009789,2009,0.5825,0.0927,-0.0157
AU0000009789,2010,0.6044,0.1474,0.0027
AU0000009789,2011,1.0289,0.0941,0.701
AU0000009789,2012,0.7963,0.091,0.224
AU0000009789,2013,0.3508,0.1406,0.134
AU0000009789,2014,0.3274,0.2842,0.1408
AU0000009789,2015,0.1942,0.2542,0.1163
AU0000009789,2016,0.2187,0.2807,-0.0878
AU0000009789,2017,0.2149,0.2748,0.0734
AU0000009789,2018,0.344,0.3092,0.1204
AU0000009789,2019,0.3212,0.2479,0.0022
AU000000AAC9,2002,1.2994,0.1705,0.1375
AU000000AAC9,2003,1.4674,0.1191,0.4884
AU000000AAC9,2004,1.4554,0.0831,0.5975
AU000000AAC9,2005,1.6083,0.0816,0.1565
AU000000AAC9,2006,1.4192,0.0501,0.163
AU000000AAC9,2007,1.034,0.042,0.2305
AU000000AAC9,2008,1.7,0.0126,0.029
AU000000AAC9,2009,1.8983,-0.0269,-0.192
AU000000AAC9,2010,1.7904,0.0212,-0.0089
AU000000AAC9,2011,1.8295,-0.1446,0.0878
AU000000AAC9,2012,1.9503,-0.0708,0.0046
AU000000AAC9,2013,0.9644,-0.1705,-0.0577
AU000000AAC9,2014,0.9776,-0.1705,0
AU000000AAC9,2015,1.1014,-0.1925,0.1036
AU000000AAC9,2016,1.0207,-0.1372,0.1392
AU000000AAC9,2017,1.4441,-0.1344,0.1175
AU000000AAC9,2018,1.6021,-0.1734,-0.0585
AU000000AAC9,2019,1.3188,-0.2648,-0.1159
AU000000AAH8,1999,0.1709,-0.0136,-0.0577
AU000000AAH8,2000,0.0413,-0.4972,-0.5048
AU000000AAH8,2001,0.0764,0.4102,1.2428
AU000000AAH8,2002,0.2381,-0.1579,-0.1472
AU000000AAH8,2003,0.1213,-0.4649,-0.1241
AU000000AAH8,2004,0.2309,0.4615,0.8778
AU000000AAH8,2005,0.3434,0.4543,0.2173
AU000000AAH8,2006,0.3193,0.0622,0.1759
AU000000AAH8,2007,1.1371,0.0119,2.3215
AU000000AAH8,2008,1.5992,-0.0239,0.009
AU000000AAN6,2002,0.5363,0.3622,0.0124
AU000000AAN6,2003,0.4457,0.3243,0.6633
AU000000AAN6,2004,0.5386,0.2479,1.6812
AU000000AAN6,2005,0.4334,0.1827,-0.2556
AU000000AAN6,2006,0.6366,0.0686,3.2999
AU000000AAU1,2000,0.2791,0.6168,0.1021
AU000000AAU1,2001,0.3487,0.5695,0.119
AU000000AAU1,2002,0.3726,0.4357,-0.0675
AU000000AAU1,2003,0.336,0.4731,0.2072
AU000000AAX5,2006,0.1033,0.7971,0.6364
AU000000AAX5,2007,0.0411,0.9289,1.6805
AU000000AAX5,2008,0.8439,0.4324,1.5832
AU000000AAX5,2009,0.4424,0.1341,-0.1141
AU000000AAX5,2010,0.5611,0.0783,-0.0627
AU000000AAX5,2011,0.756,0.2719,0.1362
AU000000AAX5,2012,0.6449,0.2892,0.0176
AU000000ABA1,1998,0.4922,0.2438,0.0793
AU000000ABA1,1999,0.4284,0.2495,0.1675
AU000000ABA1,2000,0.5654,0.2174,0.2463
AU000000ABA1,2001,0.3874,0.3039,-0.3698
AU000000ABA1,2002,0.3426,0.2971,0.0598
AU000000ABA1,2003,0.2757,0.2922,0.2435
AU000000ABA1,2004,0.2797,0.3017,0.0964
AU000000ABA1,2005,0.2283,0.3573,0.0594
AU000000ABA1,2006,0.1816,0.3726,0.8449
AU000000ABA1,2007,0.2039,0.4035,0.0523
AU000000ABA1,2008,0.6428,0.1994,0.3148
AU000000ABA1,2009,0.5114,0.1859,0.0878
AU000000ABA1,2010,0.4286,0.2154,0.0998
AU000000ABA1,2011,0.7517,0.1779,-0.0056
AU000000ABA1,2012,0.8895,0.1485,-0.0046
AU000000ABA1,2013,0.8904,0.0754,-0.0111
AU000000ABA1,2014,0.9826,0.1154,-0.0138
AU000000ABA1,2015,0.9005,0.1126,0.0318
AU000000ABA1,2016,1.0306,0.0982,0.1314
AU000000ABA1,2017,0.9952,0.12,0.0709
AU000000ABA1,2018,1.0469,0.1242,0.0186
AU000000ABA1,2019,0.9536,0.1239,0.0755
AU000000ABB9,2002,0.7689,0.1803,0.0275
AU000000ABB9,2003,0.5192,0.1441,-0.4659
AU000000ABB9,2004,0.8505,0.0356,4.685
AU000000ABB9,2005,0.8194,0.1438,-0.1038
AU000000ABB9,2006,0.9186,0.1255,0.3645
AU000000ABB9,2007,0.7265,0.1461,0.2801
AU000000ABB9,2008,0.8683,0.0014,-0.0819
AU000000ABC7,1996,0.7289,0.4745,-0.0871
AU000000ABC7,2001,1.3355,0.266,-0.0237
AU000000ABC7,2002,0.8851,0.3115,0.096
AU000000ABC7,2003,0.758,0.3315,0.1241
AU000000ABC7,2004,0.7072,0.319,0.0122
AU000000ABC7,2005,0.6026,0.296,0.0837
AU000000ABC7,2006,0.4778,0.3106,0.0443
AU000000ABC7,2007,0.3852,0.3329,0.0757
AU000000ABC7,2008,0.6519,0.343,0.096
AU000000ABC7,2009,0.5469,0.2586,-0.0023
AU000000ABC7,2010,0.4689,0.2841,-0.017
AU000000ABC7,2011,0.5574,0.285,0.1008
AU000000ABC7,2012,0.5396,0.2931,0.1026
AU000000ABC7,2013,0.4794,0.2985,0.0105
AU000000ABC7,2014,0.5232,0.2903,0.1099
AU000000ABC7,2015,0.4186,0.2966,0.0139
AU000000ABC7,2016,0.3706,0.2897,-0.0064
AU000000ABC7,2017,0.3141,0.2827,0.102
AU000000ABC7,2018,0.4796,0.2906,0.0323
AU000000ABC7,2019,0.563,0.3275,0.0364
AU000000ABG8,1996,0.0888,0.9558,0.3628
AU000000ABG8,1997,0.1996,1.0211,0.1447
AU000000ABG8,1998,0.3504,0.6043,0.1194
AU000000ABG8,1999,0.4988,0.4887,0.0417
AU000000ABG8,2000,0.6516,0.4363,0.4271
AU000000ABG8,2001,1.0164,0.3465,0.0954
AU000000ABG8,2002,1.2817,0.3165,-0.0743
AU000000ABS3,2001,0.0671,0.6397,-0.2031
AU000000ABS3,2002,0.1179,0.3775,0.9583
AU000000ABS3,2003,0.2223,0.2193,1.8102
AU000000ABS3,2004,0.1126,0.2149,1.0005
AU000000ABS3,2005,0.3929,0.0801,2.7033
AU000000ABS3,2006,0.566,0.0771,0.9686
AU000000ABS3,2007,0.7641,0.1667,0.729
AU000000ABY1,2006,0.0918,0.4636,0.3548
AU000000ABY1,2007,0.5779,0.1536,0.1066
AU000000ABY1,2008,13.2592,0.4934,0.0559
AU000000ABY1,2009,1.0896,-0.0203,-0.0417
AU000000ABY1,2010,1.213,0.3209,-0.0533
AU000000ACH4,1996,0.7946,0.2038,0.0279
AU000000ACR3,2005,0.3958,-0.2493,-0.1793
AU000000ACR3,2006,0.1957,-0.5578,-0.2607
AU000000ACR3,2007,0.0807,-0.495,-0.1275
AU000000ACR3,2008,0.4999,-0.1758,1.0448
AU000000ACR3,2009,0.0886,-0.3089,-0.154
AU000000ACR3,2010,0.1388,0.6016,1.4096
AU000000ACR3,2011,0.1072,1.6035,-0.2944
AU000000ACR3,2012,0.1193,0.0704,-0.0084
AU000000ACR3,2013,0.1164,0.2378,-0.0958
AU000000ACX1,2016,0.1039,0.1481,2.6669
AU000000AD88,2017,0.1289,0.0504,2.4745
AU000000AD88,2018,0.0938,0.0373,-0.2134
AU000000AD88,2019,0.0722,0.08,0.9357
AU000000ADA7,1999,0.2452,0.081,0.16
AU000000ADA7,2000,0.6086,0.0575,0.7647
AU000000ADA7,2014,0.4413,0.3185,0.0147
AU000000ADA7,2015,0.0724,0.4911,0.4089
AU000000ADA7,2016,0.1039,0.6404,0.1686
AU000000ADA7,2017,0.118,0.4052,0.0643
AU000000ADB5,1996,0.5874,0.2514,-0.0193
AU000000ADB5,1997,0.4944,0.2367,0.1255
AU000000ADB5,1998,0.4179,0.2186,0.1337
AU000000ADB5,1999,0.5759,0.223,0.2221
AU000000ADB5,2000,0.5543,0.2091,0.1694
AU000000ADB5,2001,0.4355,0.2078,0.1542
AU000000ADB5,2002,0.4293,0.2325,0.0248
AU000000ADB5,2003,0.4211,0.2505,0.2973
AU000000ADB5,2004,0.3828,0.2675,0.1926
AU000000ADB5,2005,0.3615,0.2453,0.283
AU000000ADB5,2006,0.4614,0.2438,0.9596
AU000000ADG4,1998,0.4423,0.6391,0.0463
AU000000ADG4,1999,0.5456,0.6226,0.1148
