ISIN,name,country,dscode
AU0000003PL9,3P LEARNING LTD.,AU,8933TC
AU0000004053,WOOMERA MINING LTD.,AU,31512D
AU0000009789,PENDAL GROUP LTD.,AU,51280P
AU000000AAC9,AUSTRALIAN AGRI.CO.LTD.,AU,14424Q
AU000000AAH8,ARANA THERAPEUTICS LTD.,AU,701957
AU000000AAN6,ALINTA LIMITED,AU,267625
AU000000AAU1,ADCORP AUSTRALIA LIMITED,AU,691893
AU000000AAX5,AUSENCO LIMITED,AU,35975Q
AU000000ABA1,AUSWIDE BANK LTD.,AU,133915
AU000000ABB9,ABB GRAIN LTD.,AU,26035U
AU000000ABC7,ADBRI LTD.,AU,922472
AU000000ABG8,ABIGROUP LIMITED,AU,998010
AU000000ABS3,ABC LEARNING CENTS.LTD.,AU,257134
AU000000ABY1,ADITYA BIRLA MRLS.LTD.,AU,35684U
AU000000ACH4,AUST.CHEMICAL HDG.LTD.,AU,923138
AU000000ACR3,ACRUX LIMITED,AU,29467E
AU000000ACX1,ACONEX LIMITED,AU,9223T9
AU000000AD88,AUDINATE GROUP LIMITED,AU,9107HR
AU000000ADA7,ADACEL TECHNOLOGIES LTD.,AU,675142
AU000000ADB5,ADELAIDE BANK LIMITED,AU,132620
AU000000ADG4,ADTRANS GROUP LTD.,AU,502395
AU000000ADH2,ADAIRS,AU,9661AD
AU000000ADZ4,ADSTEAM & MARINE,AU,890209
AU000000AEC1,AMMTEC LIMITED,AU,131467
AU000000AED9,AED OIL LTD.,AU,30779W
AU000000AEF4,AUSTRALIAN ETHI.INV.LTD.,AU,26611K
AU000000AEJ6,REDBANK ENERGY LTD.,AU,41465H
AU000000AEN8,AUSTRALIAN ENERGY LTD.,AU,13453F
AU000000AEO6,AUSTEREO GROUP LIMITED,AU,256929
AU000000AET5,AUSMELT LIMITED,AU,360547
AU000000AFG9,AUSTRALIAN FIN.GP.LTD.,AU,9522QV
AU000000AFT2,AFT CORPORATION LIMITED,AU,749788
AU000000AGC6,AGINCOURT RESOURCES LTD.,AU,280147
AU000000AGI3,AINSWORTH GAME TECH.LTD.,AU,14880E
AU000000AGL7,AGL ENERGY LIMITED,AU,923040
AU000000AGO1,ATLAS IRON LIMITED,AU,29897X
AU000000AGS2,ALLIANCE RESOURCES LTD.,AU,134357
AU000000AHG5,AUTOMOTIVE HDG.GP.LTD.,AU,31511D
AU000000AHY8,ASALEO CARE LIMITED,AU,8917JD
AU000000AIO7,ASCIANO LTD.,AU,50608C
AU000000AJA4,ASTRO JAPAN PR.GROUP,AU,30461Q
AU000000AJL1,AJ LUCAS GROUP LIMITED,AU,691704
AU000000AJX6,ALEXIUM INTL.GROUP LTD.,AU,280117
AU000000AKG9,ACADEMIES AUSAN.GP.LTD.,AU,502272
AU000000AKP0,AUDIO PIXELS HDG.LTD.,AU,29929D
AU000000AKW6,ARTURUS CAPITAL LIMITED,AU,314304
AU000000ALK9,ALKANE RESOURCES LTD.,AU,951404
AU000000ALL7,ARISTOCRAT LEISURE LTD.,AU,865613
AU000000ALQ6,ALS LTD.,AU,771351
AU000000ALS2,ALESCO CORP.LIMITED,AU,952314
AU000000ALU8,ALTIUM LIMITED,AU,691685
AU000000AMA8,AMA GROUP LIMITED,AU,41162F
AU000000AMM3,AMCOM TELECOM.LIMITED,AU,132783
AU000000AMP6,AMP LTD.,AU,675492
AU000000ANC2,ANGUS & COOTE HDG.LTD.,AU,923135
AU000000AND0,ANDEAN RESOURCES LTD.,AU,871066
AU000000ANE8,AUSPINE LIMITED,AU,771358
AU000000ANG3,AUSTIN ENGINEERING LTD.,AU,28165R
AU000000ANN9,ANSELL LTD.,AU,901847
AU000000ANO7,ADVANCE NANOTEK LTD.,AU,30186M
AU000000ANR0,ANATARA LFSC.LTD.,AU,9145YK
AU000000ANZ3,AUS.AND NZ.BANKING GLD.,AU,950706
AU000000AOE6,ARROW ENERGY LIMITED,AU,263293
AU000000AOR8,AURIONGOLD,AU,152488
AU000000APD5,APN PROPERTY GROUP LTD.,AU,31109W
AU000000APE3,EAGERS AUTOMOTIVE LTD.,AU,933902
AU000000APH6,ASCENT PHARMAHEALTH LTD.,AU,28985H
AU000000API4,AUST.PHARM.INDS.LIMITED,AU,890635
AU000000APO2,APN OUTDOOR GROUP LTD.,AU,9166FC
AU000000APT1,AFTERPAY LTD.,AU,9105LQ
AU000000APX3,APPEN LIMITED,AU,9262HV
AU000000AQA9,AQUILA RESOURCES LIMITED,AU,280977
AU000000AQC5,AUSTRALIAN PAC.CAA.LTD.,AU,280102
AU000000AQZ6,ALLIANCE AVTN.SVS.LTD.,AU,86558U
AU000000ARB5,ARB CORPORATION LTD.,AU,502380
AU000000ARH2,AUSTRALASIAN RES.LTD.,AU,938653
AU000000ARI0,ACN 004 410 833 LTD.,AU,268432
AU000000ARQ3,ARC ENERGY LTD.,AU,502404
AU000000ARU5,ARAFURA RESOURCES LTD.,AU,27467E
AU000000ASB3,AUSTAL LTD.,AU,675834
AU000000ASG2,AUTOSPORTS GROUP LTD.,AU,2653Q9
AU000000AST5,AUSNET SERVICES LTD.,AU,32494N
AU000000ASX7,ASX LIMITED,AU,675705
AU000000ASZ2,ASG GROUP LIMITED,AU,280154
AU000000ATI6,ATLANTIC LTD.,AU,502402
AU000000ATL0,APOLLO TSM.& LEIS.LTD.,AU,2696TQ
AU000000ATU1,ATRUM COAL LTD.,AU,87356D
AU000000AU87,AUMAKE INTL.LTD.,AU,86516N
AU000000AUB9,AUB GROUP LIMITED,AU,32039W
AU000000AUC7,AUSGOLD LIMITED,AU,68403M
AU000000AUD5,AUSDOC GROUP LIMITED,AU,316087
