"mdate","MktRF","SMB","HML","RF","WML"
199106,-0.0064,0.0052,-0.0029,0.0042,-0.0017
199107,0.0578,-0.0111,0.0439,0.0049,-0.0046
199108,-0.0159,-0.0075,0.0141,0.0046,0.0294
199109,0.0081,0.011,0.018,0.0046,0.0155
199110,0.0377,0.0043,0.0129,0.0042,0.002
199111,-0.0035,0.0245,0.0051,0.0039,-0.0177
199112,0.0136,-0.024,-0.0096,0.0038,0.0268
199201,0.013,-4e-04,0.0063,0.0034,0.0115
199202,0.02,-8e-04,0.0217,0.0028,0.0333
199203,-0.0027,0.0028,-0.0117,0.0034,0.0059
199204,0.0539,-0.0426,-0.0023,0.0032,0.0181
199205,0.0792,-0.0284,0.0441,0.0028,0.0442
199206,-0.0118,-0.0012,8e-04,0.0032,0.0326
199207,-0.0337,0.0148,-0.0056,0.0031,0.0138
199208,-0.0607,-0.0022,0.0125,0.0026,0.0441
199209,-0.0251,0.0075,0.0243,0.0026,0.0076
199210,0.0289,-0.0299,0.0221,0.0023,0.0895
199211,-0.0198,0.0229,-0.0058,0.0023,-0.0183
199212,0.0063,0.0148,-0.0475,0.0028,-0.0676
199301,0.0103,0.0031,0.0109,0.0023,0.0273
199302,0.0806,-0.0147,0.0132,0.0022,-0.0074
199303,0.0276,0.0376,-0.0129,0.0025,0.0025
199304,0.0551,0.0373,0.013,0.0024,0.0388
199305,0.0489,0.0272,0.0079,0.0022,0.0418
199306,-0.0279,0.0244,0.0233,0.0025,0.0071
199307,0.0221,0.0111,-0.0186,0.0024,0.0225
199308,0.0637,-0.0138,0.0086,0.0025,-0.0134
199309,1e-04,-0.0297,0.0053,0.0026,-0.0267
199310,0.1582,-0.0509,0.0171,0.0022,0.0136
199311,-0.0238,0.0241,0.0183,0.0025,-0.0259
199312,0.2052,-0.0615,0.0723,0.0023,0.051
199401,0.0086,0.0376,0.0216,0.0025,-0.0329
199402,-0.0652,0.0591,0.0076,0.0021,-0.0146
199403,-0.0999,0.0065,0.0038,0.0027,-0.0282
199404,0.0214,-0.0159,-6e-04,0.0027,-0.0018
199405,0.0424,-0.043,0.0054,0.0032,0.0137
199406,-0.0639,0.0258,-0.0173,0.0031,0.0134
199407,0.0475,-0.0426,0.0166,0.0028,0.0174
199408,0.0363,-0.027,-0.0024,0.0037,0.0229
199409,-0.0253,0.0088,-0.0016,0.0037,0.0142
199410,0.0094,-0.028,0.0085,0.0038,-2e-04
199411,-0.0843,0.0115,0.0083,0.0037,0.0046
199412,-0.0144,-0.0155,0.0094,0.0044,0.0185
199501,-0.0764,-0.0179,0.0184,0.0042,0.0366
199502,0.0583,-0.0636,0.0238,0.004,-0.0748
199503,0.0051,-0.0302,-0.0051,0.0046,0.0043
199504,0.0102,-0.0058,2e-04,0.0045,0.0383
199505,0.0415,-0.0411,-0.0138,0.0054,-0.0045
199506,-0.0235,0.0217,0.0049,0.0047,-5e-04
199507,0.0483,0.0328,-0.0228,0.0045,-0.0019
199508,-0.0147,0.0507,-0.0364,0.0047,-0.0021
199509,0.0175,-0.0117,0.0345,0.0043,0.0136
199510,-0.0078,-0.0216,0.0015,0.0047,-0.0175
199511,0.0081,-0.0037,0.0071,0.0042,0.0419
199512,0.0282,-0.0214,6e-04,0.0049,0.0016
199601,0.0833,-0.0206,0.0305,0.0043,0.0113
199602,0.0034,0.0221,-0.0134,0.0039,-0.0067
199603,-0.0098,0.0019,-0.0022,0.0039,0.0186
199604,0.0158,0.0111,-0.0031,0.0046,0.0111
199605,0.0072,0.0112,-0.0113,0.0042,0.0391
199606,-0.0213,-0.0013,0.0176,0.004,3e-04
199607,-0.0534,-0.002,0.0241,0.0045,-0.0045
199608,0.0389,0.0053,-0.0202,0.0041,0.0389
199609,0.0231,-0.0051,0.0085,0.0044,0.0321
199610,0.0234,0.0197,-0.005,0.0042,0.0341
199611,0.0648,-0.0089,0.0474,0.0041,0.026
199612,-0.0045,-0.0032,0.0057,0.0046,0.0037
199701,-0.0217,0.0253,-0.0113,0.0045,-0.0229
199702,0.0087,0.0415,-0.0027,0.0039,0.0186
199703,-0.0471,0.021,0.0031,0.0043,0.0185
199704,-1e-04,-0.0086,0.0281,0.0043,0.0602
199705,0.069,-0.034,0.0146,0.0049,0.0304
199706,0.0222,-0.0331,-0.0023,0.0037,0.0185
199707,0.0169,0.0181,0.0185,0.0043,0.0615
199708,-0.0843,0.0843,0.0817,0.0041,0.0329
199709,0.0375,-0.0667,-0.0505,0.0044,-0.0069
199710,-0.2235,-0.0147,-0.0443,0.0042,-0.0404
199711,-0.0153,-0.0507,-0.0207,0.0039,-0.0012
199712,-0.0147,-0.0612,-0.0138,0.0048,0.0471
199801,-0.0861,-0.0346,-0.0891,0.0043,0.0992
199802,0.1187,0.0106,0.0508,0.0039,-0.2162
199803,-0.0187,-0.0055,0.018,0.0039,0.0105
199804,-0.0569,0.0191,0.0011,0.0043,0.0328
199805,-0.1107,0.0105,-0.0066,0.004,0.102
199806,-0.0601,-0.0532,0.0369,0.0041,0.1088
199807,-0.0372,0.0021,-0.0712,0.004,0.0727
199808,-0.1336,-0.0165,-0.0547,0.0043,0.034
199809,0.1076,-0.0531,0.0111,0.0046,-0.0472
199810,0.1807,-0.0608,0.237,0.0032,-0.3677
199811,0.0462,0.0248,0.021,0.0031,-0.0645
199812,-0.0267,-0.0033,-0.0217,0.0038,0.0359
199901,-0.004,0.0246,-0.0707,0.0035,0.0828
199902,-0.0128,-0.0061,-0.0034,0.0035,-0.0028
199903,0.0814,-0.0647,0.0351,0.0043,0.0059
199904,0.1683,0.0204,0.1148,0.0037,-0.1535
199905,-0.0542,0.1241,0.0585,0.0034,-0.0269
199906,0.0918,0.048,0.0824,0.004,0.0507
199907,-0.0219,-0.0198,-0.0405,0.0038,-0.0709
199908,-0.0228,-0.0073,-0.0196,0.0039,0.0197
199909,-0.023,0.0412,0.0044,0.0039,-0.0335
199910,0.0119,-0.013,-0.0306,0.0039,0.0365
199911,0.0708,-0.0089,-0.0511,0.0036,0.0422
199912,0.0898,-0.0064,0.0405,0.0044,0.0856
200001,-0.0683,0.0682,0.0265,0.0041,0.02
200002,-0.0073,0.0578,-0.0147,0.0043,0.0418
200003,0.0061,-0.0206,0.0127,0.0047,0.0123
200004,-0.0645,-0.1169,-0.004,0.0046,-0.1418
200005,-0.0845,-0.0033,-0.0308,0.005,-0.0539
200006,0.1078,-0.0456,0.0174,0.004,0.0106
200007,-0.0065,-0.0067,0.0366,0.0048,-0.0338
200008,0.0221,-0.0289,0.0497,0.005,-0.0051
200009,-0.0745,-0.0446,0.0469,0.0051,0.0042
200010,-0.0609,-0.0251,0.0154,0.0056,-0.0363
200011,-0.0098,-0.0026,0.0319,0.0051,-0.0248
200012,0.0409,-0.0574,0.0604,0.005,0.0114
200101,0.0281,-0.0223,-0.0067,0.0054,-0.0027
200102,-0.037,0.0022,0.0866,0.0038,0.0355
200103,-0.1324,-0.0125,0.0805,0.0042,0.0652
200104,0.065,0.0033,-0.0528,0.0039,-0.0333
200105,-0.0015,0.0492,0.0519,0.0032,0.0219
200106,0.0136,0,6e-04,0.0028,0.0417
200107,-0.0397,-0.0335,0.0123,0.003,0.0399
200108,-0.0108,-0.0078,-0.0194,0.0031,0.079
200109,-0.1418,-0.0219,0.0023,0.0028,0.0516
200110,0.058,0.0355,-0.0113,0.0022,0.0278
200111,0.0857,-0.0042,0.0088,0.0017,-0.0549
200112,0.023,-0.0261,0.0298,0.0015,-0.0138
200201,0.0152,0.0347,0.0254,0.0014,-8e-04
200202,-0.0164,0.0088,0.0179,0.0013,0.0683
200203,0.0454,0.0079,0.0023,0.0013,0.0046
200204,0.0064,-0.021,0.0608,0.0015,0.015
200205,0.0199,0.0398,0.0037,0.0014,0.0589
200206,-0.0551,-0.008,0.0401,0.0013,0.0563
200207,-0.0615,-0.0351,0.0121,0.0015,0.0087
200208,3e-04,0.0172,-0.0262,0.0014,0.0459
200209,-0.074,-0.0072,-0.0084,0.0014,0.0371
200210,0.0455,-0.0308,0.0065,0.0014,-0.0042
200211,0.0257,-0.0288,0.0342,0.0012,-0.0176
200212,-0.0314,0.0439,-0.013,0.0011,0.05
200301,0.0166,0.0148,-0.0047,0.001,0.0308
200302,-0.014,0.0067,0.0356,9e-04,0.0547
200303,-0.0052,-0.0191,-0.0276,0.001,0.0359
200304,0.0454,-0.0143,-0.0352,0.001,0.0204
200305,0.0717,0.0207,0.0616,9e-04,-0.0148
200306,0.0377,0.0116,0.0044,0.001,0.0364
200307,0.0338,0.05,0.0631,7e-04,-0.0249
200308,0.0635,0.0191,0.0704,7e-04,-0.0457
200309,0.0534,0.0337,0.0111,8e-04,-0.0033
200310,0.0624,-0.0041,0.0044,7e-04,0.0117
200311,0.0019,0.0067,-0.019,7e-04,-0.0019
200312,0.0518,-0.0059,-0.0231,8e-04,0.0188
200401,0.0444,0.0048,0.0828,7e-04,0.0073
200402,0.0373,0.0083,0.0089,6e-04,0.0148
200403,-0.0159,-0.016,-0.0269,9e-04,1e-04
200404,-0.0553,-0.0189,-0.0038,8e-04,-0.0399
200405,0.0011,-0.0234,-0.0016,6e-04,0.0099
200406,0.0045,-0.0095,-4e-04,8e-04,0.004
200407,0.0098,0.0087,-0.0027,0.001,0.0162
200408,0.026,-0.0315,0.0382,0.0011,0.0245
200409,0.0537,0.0083,-0.023,0.0011,0.0315
200410,0.0321,0.0187,-0.0253,0.0011,0.037
200411,0.077,-7e-04,0.0205,0.0015,0.0416
