date,APMOLLER_B,APMOLLER_A,INDUSTRIVARDEN_A,INDUSTRIVARDEN_C,INVESTOR_B,INVESTOR_A,SVENSKAHANDBKN_A,SVENSKAHANDBKN_B,VOLVO_B,VOLVO_A,VW_PREF,VW,HYUNDAI,HYUNDAI_PREF,STORAENSO_R,STORAENSO_A
08.09.2004,1402.61,1369.99,9.12,8.42,10.19,10.09,20.17,19.97,6.8,6.55,26.579,38.546,43.75,22.44,13.0978,13.1584
09.09.2004,1416.9,1384.17,9.12,8.42,10.16,10.02,20.11,19.98,6.76,6.51,26.749,38.947,44.17,23.4,13.0788,13.2005
10.09.2004,1448.45,1415.38,9.26,8.52,10.34,10.24,20.35,20.08,6.77,6.53,27.354,39.878,45.55,24.35,13.2195,13.4654
13.09.2004,1445.52,1422.47,9.32,8.58,10.3,10.2,20.46,20.33,6.94,6.68,27.87,40.802,46.98,24.63,13.1137,13.4075
14.09.2004,1452.95,1429.84,9.39,8.57,10.33,10.23,20.46,20.32,6.93,6.68,27.831,40.802,47.24,24.45,13.018,13.5093
15.09.2004,1443.51,1423.92,9.28,8.52,10.21,10.05,19.96,19.76,6.81,6.53,27.018,39.303,49.47,24.82,12.7531,13.1175
16.09.2004,1449.17,1432.85,9.22,8.46,10.26,10.12,19.91,19.85,6.71,6.49,27.268,39.486,48.61,24.96,12.843,12.8673
17.09.2004,1458.72,1435.83,9.26,8.49,10.37,10.27,20,19.93,6.62,6.36,26.964,39.148,48.84,24.99,12.9679,13.0165
20.09.2004,1450.36,1427.5,9.28,8.58,10.29,10.19,19.97,19.77,6.68,6.42,27.228,38.972,49.46,25.43,13.0104,12.9983
21.09.2004,1476.38,1459.9,9.45,8.67,10.47,10.33,20.19,19.98,6.81,6.56,27.528,39.498,47.97,25.16,13.1864,13.1864
22.09.2004,1470.97,1451.22,9.43,8.65,10.48,10.31,20.21,19.94,6.73,6.48,27.31,38.68,46.62,24.36,13.1078,13.1812
23.09.2004,1471.28,1448.13,9.49,8.74,10.55,10.38,20.14,20.01,6.67,6.42,27.278,38.47,46.15,23.94,13.1567,13.3042
24.09.2004,1487.46,1467.67,9.46,8.71,10.47,10.3,20.13,19.93,6.62,6.38,27.092,38.477,46.19,23.88,13.0889,13.2361
27.09.2004,1487.94,1464.8,9.47,8.69,10.29,10.19,20.03,19.83,6.6,6.31,27.114,37.93,46.19,23.88,13.0371,13.2215
28.09.2004,1489.2,1469.35,9.37,8.66,10.32,10.15,20.11,19.9,6.65,6.4,26.863,38.156,46.19,23.88,13.2117,13.2363
29.09.2004,1505.98,1486.12,9.56,8.78,10.55,10.48,20.83,20.62,6.75,6.51,26.928,38.406,46.07,23.82,13.5089,13.5459
30.09.2004,1532.15,1505.45,9.68,8.96,10.65,10.58,20.95,20.81,6.79,6.54,27.098,38.157,46.11,23.97,13.5138,13.6256
01.10.2004,1539.13,1522.47,9.93,9.21,10.92,10.79,21.3,21.03,6.92,6.66,27.362,38.656,48.66,25.02,13.8696,13.9936
04.10.2004,1538.97,1519.19,9.92,9.21,10.74,10.64,21.2,21,7,6.74,27.42,39.042,51.41,26.1,13.6832,13.9775
05.10.2004,1548.21,1531.67,10.01,9.3,10.87,10.76,21.39,21.19,7.17,6.9,27.51,39.114,52.76,26.9,13.5864,13.5987
06.10.2004,1554.22,1531.07,9.98,9.3,10.83,10.66,21.32,21.18,7.07,6.82,28.8,41.916,51.28,26.03,13.8172,13.5957
07.10.2004,1565.16,1551.95,9.99,9.31,10.83,10.66,21.13,21.06,7,6.73,28.769,41.732,52.06,26.08,13.6368,13.8826
08.10.2004,1565.31,1555.3,10.13,9.45,10.89,10.75,21.36,21.23,7.03,6.77,29.544,41.929,52.15,26.03,13.9308,14.0922
11.10.2004,1571.04,1551.06,10.12,9.44,10.84,10.74,21.41,21.2,7.08,6.79,28.918,41.378,51.57,25.83,14.0395,13.7424
12.10.2004,1565.32,1555.39,10.08,9.4,10.69,10.59,21.05,20.84,6.95,6.69,28.381,40.708,49.66,25.05,13.8711,13.6865
13.10.2004,1556.86,1540.37,10.08,9.27,10.69,10.56,21.11,20.91,6.94,6.67,29.14,41.364,50.67,25.12,13.9474,13.6407
14.10.2004,1559.64,1559.64,10.16,9.48,10.71,10.64,21.28,21.14,6.88,6.61,29.686,42.097,51.46,25.21,13.9669,14.19
15.10.2004,1553.9,1540.47,10.33,9.58,10.74,10.61,21.35,21.08,6.96,6.71,30.208,43.017,50.63,25.32,13.9915,14.029
18.10.2004,1541.59,1531.49,10.51,9.69,10.82,10.65,21.37,21.23,6.97,6.74,30.608,43.205,50.8,25.36,13.9701,14.0702
19.10.2004,1544.86,1541.49,10.51,9.69,11.03,10.89,21.3,21.16,7.03,6.75,31.453,43.888,51.99,26.3,14.22,14.3952
20.10.2004,1511.84,1501.67,10.5,9.73,11.09,10.92,21.55,21.34,7.14,6.88,31.634,44.131,49.7,25.29,13.8905,14.067
21.10.2004,1515.8,1498.84,10.55,9.64,11.17,11.03,21.44,21.23,6.98,6.72,31.129,43.467,48.49,24.86,14.1085,13.869
22.10.2004,1552.78,1532.4,10.42,9.55,11.12,10.98,21.54,21.4,7.04,6.79,31.387,42.53,46.73,24.9,14.4629,14.6524
25.10.2004,1536.24,1522.49,10.46,9.61,10.99,10.85,21.55,21.55,6.95,6.72,31.174,42.763,45.13,24.5,14.3216,14.6921
26.10.2004,1508.59,1494.85,10.54,9.62,11.14,11,21.72,21.43,7.07,6.81,31.68,43.267,46.84,24.92,14.3078,14.4867
27.10.2004,1511.65,1501.34,10.69,9.81,11.23,11.05,21.74,21.6,7.26,6.99,31.861,43.635,46.87,24.9,14.1375,14.4824
28.10.2004,1497.43,1487.15,10.63,9.75,11.08,10.94,21.82,21.53,7.23,6.99,32.089,44.083,47.82,25.16,13.9198,14.2
29.10.2004,1472.28,1455.16,10.54,9.67,11.07,10.93,21.58,21.58,7.26,7.02,31.799,44.095,48.5,25.28,14.2345,14.3108
01.11.2004,1508.98,1491.83,10.64,9.69,11.24,11.06,21.91,21.7,7.37,7.12,32.366,44.749,48.26,25.65,14.3765,14.402
02.11.2004,1496.71,1489.88,10.72,9.7,11.35,11.21,21.93,21.72,7.34,7.09,32.692,45.572,49.57,26.45,14.3503,14.3884
03.11.2004,1525.95,1515.62,10.88,9.93,11.59,11.44,22.18,22.04,7.39,7.14,32.303,44.562,50.6,26.33,14.4773,14.426
04.11.2004,1532.15,1525.21,10.88,9.85,11.59,11.41,22.32,22.11,7.48,7.21,32.203,44.463,50.07,26.25,14.5442,14.7117
05.11.2004,1559.91,1552.97,11.04,10.01,11.71,11.57,22.65,22.44,7.55,7.27,32.596,45.076,50.7,26.38,14.5252,14.6543
08.11.2004,1561.28,1547.34,11.07,10.04,11.71,11.57,22.43,22.21,7.61,7.36,32.629,45.172,49.66,25.87,14.3872,14.6333
09.11.2004,1556.93,1546.5,11.02,10.03,11.7,11.52,22.47,22.4,7.55,7.28,32.538,45.212,49.57,26.01,14.3728,14.4374
10.11.2004,1553.99,1547.03,11.12,10.16,11.87,11.73,22.89,22.68,7.65,7.38,32.865,45.542,48.72,25.71,14.6727,14.6081
11.11.2004,1568.72,1565.25,11.2,10.16,12.02,11.91,22.82,22.61,7.66,7.41,33.003,45.838,48.92,25.63,14.7902,14.8676
12.11.2004,1569.64,1562.68,11.39,10.31,12.22,12.04,23.22,23.08,7.74,7.47,33.007,45.854,50.52,26.08,14.962,15.0267
15.11.2004,1570.63,1563.66,11.53,10.44,12.36,12.18,23.06,22.91,7.81,7.55,32.8,45.604,50.54,26.55,14.8694,15.0118
16.11.2004,1581.88,1578.39,11.52,10.44,12.32,12.18,22.9,22.68,7.78,7.5,32.351,44.896,49.56,26.29,14.7947,14.7428
17.11.2004,1608.64,1594.62,11.75,10.62,12.51,12.33,23.43,23.06,7.87,7.59,32.817,45.277,50.14,27.02,15.0695,14.9783
18.11.2004,1608.02,1587.05,11.66,10.68,12.53,12.35,23.25,23.03,7.84,7.54,32.727,45.154,49.18,26.46,14.9373,14.9633
19.11.2004,1613.32,1595.74,11.67,10.61,12.32,12.1,23.26,23.19,7.85,7.58,32.773,44.941,49.79,26.39,15.0173,15.0826
22.11.2004,1593.66,1572.6,11.53,10.44,12.25,12.07,23.2,23.05,7.73,7.45,32.63,44.758,48.71,25.86,14.8818,14.8166
23.11.2004,1616.95,1602.86,11.68,10.51,12.41,12.26,23.5,23.36,7.76,7.49,32.521,44.262,49.93,26.18,15.0511,15.1819
24.11.2004,1647.18,1633.01,11.65,10.47,12.31,12.16,23.96,23.66,7.71,7.42,32.479,44.442,51.01,26.35,15.2921,15.1737
25.11.2004,1636.02,1632.46,11.75,10.75,12.46,12.46,24.47,24.17,7.81,7.53,32.634,44.971,51.17,27.29,15.7943,16.0459
26.11.2004,1638.65,1624.37,11.64,10.67,12.57,12.42,24.76,24.54,7.82,7.53,32.632,45.107,50.17,26.71,15.6464,15.9116
29.11.2004,1641.75,1627.44,11.75,10.78,12.64,12.53,24.62,24.39,7.89,7.58,32.749,45.13,48.71,26.55,15.9031,16.0625
30.11.2004,1635.1,1627.94,11.74,10.77,12.41,12.33,24.37,24.15,7.84,7.56,32.666,44.681,49.21,25.85,15.9742,15.9476
01.12.2004,1669,1643.92,11.98,10.98,12.65,12.5,24.94,24.71,7.83,7.53,33.063,45.132,48.75,26.19,15.7673,16.1
02.12.2004,1671.68,1650.25,11.9,10.86,12.63,12.49,24.75,24.53,7.82,7.52,33.171,45.22,49.16,26.69,15.4725,15.5256
03.12.2004,1662.8,1641.2,12,11.03,12.57,12.45,24.83,24.76,7.7,7.42,33.156,45.628,49.47,26.84,15.4556,15.576
06.12.2004,1662.84,1652,12.02,11.08,12.66,12.48,24.8,24.57,7.81,7.54,33.07,45.275,49.98,26.91,15.5213,15.6421
07.12.2004,1655.57,1630.27,12.02,11.08,13.04,12.85,25.09,24.87,7.88,7.58,32.831,45.21,48.49,26.55,15.6024,15.6293
08.12.2004,1603.23,1578.24,11.87,10.8,12.54,12.39,24.78,24.48,7.7,7.44,32.769,45.343,48.56,26.03,15.1908,15.2572
09.12.2004,1569.94,1552.1,11.72,10.72,12.49,12.27,24.47,24.17,7.63,7.33,32.483,44.943,47.84,25.86,15.2466,15.1405
10.12.2004,1548.13,1526.77,11.68,10.69,12.53,12.38,24.68,24.39,7.59,7.3,32.474,44.191,47.03,25.39,15.4301,15.2847
13.12.2004,1582.01,1560.54,11.96,10.92,12.7,12.59,25.26,24.96,7.7,7.42,32.645,44.905,48.23,25.53,15.2653,15.5445
14.12.2004,1576.1,1551.08,11.91,10.91,12.54,12.39,24.94,24.64,7.66,7.38,32.743,44.462,49.41,25.7,15.3156,15.5946
15.12.2004,1599.65,1574.38,11.99,10.98,12.58,12.36,25.24,24.87,7.81,7.52,32.817,45.138,50.12,26.14,15.3008,15.3813
16.12.2004,1562.51,1548.21,11.98,10.87,12.46,12.31,25,24.78,7.58,7.27,32.685,44.789,50.4,26.81,15.1466,15.2131
17.12.2004,1544.44,1526.61,11.92,10.93,12.18,12.04,24.74,24.66,7.45,7.18,32.408,44.167,50.64,27.02,15.0171,15.2955
20.12.2004,1569.27,1554.84,12.28,11.23,12.55,12.36,25.24,24.94,7.49,7.21,32.45,44.252,50.83,27.11,15.419,15.4726
21.12.2004,1614.36,1603.57,12.36,11.17,12.55,12.4,25.17,25.02,7.5,7.24,32.411,44.467,50.59,26.95,15.5826,15.5692
22.12.2004,1638.14,1616.54,12.47,11.36,12.58,12.51,25.46,25.16,7.69,7.43,32.931,45.286,50.21,26.72,15.5685,15.6086
23.12.2004,1655.4,1637.25,12.77,11.62,12.7,12.62,25.92,25.85,7.73,7.46,32.855,45.331,50.45,26.89,15.6633,15.8659
24.12.2004,1659.32,1641.13,12.85,11.69,12.77,12.7,26.08,26,7.77,7.51,32.94,45.448,51.05,26.91,15.7038,15.9069
27.12.2004,1662.1,1643.8,12.85,11.6,12.74,12.66,26.23,26,7.76,7.46,33.037,45.529,50.07,26.61,15.802,15.9382
28.12.2004,1645.22,1626.94,12.72,11.55,12.84,12.68,26.05,25.82,7.79,7.52,33.124,45.192,49.88,27.1,15.3571,15.5068
29.12.2004,1655.13,1640.51,12.75,11.61,12.79,12.64,26.1,25.8,7.7,7.43,32.88,44.853,51.56,26.88,15.2566,15.5826
30.12.2004,1656.29,1645.3,12.81,11.6,12.78,12.78,26.16,26.01,7.66,7.38,33.19,45.146,53.29,27.75,15.3603,15.7419
31.12.2004,1651.87,1640.91,12.75,11.55,12.72,12.72,26.03,25.88,7.63,7.34,33.098,45.022,53.61,27.92,15.3181,15.6987
03.01.2005,1658.48,1654.86,12.71,11.56,12.83,12.68,25.95,25.73,7.59,7.3,33.208,45.645,53.46,27.69,15.2782,15.4532
04.01.2005,1634.26,1623.53,12.56,11.38,12.71,12.56,25.49,25.19,7.46,7.18,33.491,45.877,52.77,27.59,15.1131,14.9536
05.01.2005,1606.14,1602.57,12.39,11.21,12.64,12.5,25.14,24.92,7.39,7.12,33.451,46.072,52.27,26.9,14.962,15.2673
06.01.2005,1621.67,1614.59,12.25,11.09,12.5,12.36,24.86,24.65,7.31,7.04,34.302,47.06,50.64,27.21,14.8452,15.1482
07.01.2005,1623.74,1620.23,12.26,11.14,12.55,12.41,24.74,24.52,7.46,7.2,34.457,46.575,52.02,27.82,14.6002,14.822
10.01.2005,1622.77,1619.25,12.41,11.22,12.81,12.7,25.33,25.19,7.53,7.28,35.078,47.085,52.21,28.33,14.68,14.7717
11.01.2005,1611.99,1608.45,12.33,11.19,12.91,12.73,25.02,24.87,7.55,7.3,34.377,46.8,52.51,28.12,14.8605,14.992
12.01.2005,1617.83,1614.26,12.29,11.23,12.84,12.77,24.81,24.66,7.41,7.17,34.385,46.869,51.8,28.2,14.9458,15.1584
13.01.2005,1628.92,1621.82,12.22,11.13,12.66,12.51,24.66,24.59,7.52,7.3,34.119,46.42,52.58,28.85,14.932,14.9188
14.01.2005,1619.19,1615.67,12.36,11.02,12.51,12.36,24.5,24.36,7.59,7.36,34.151,46.014,53.47,29.04,14.8882,15.137
17.01.2005,1628.28,1617.73,12.32,11.13,12.61,12.43,24.28,24.13,7.63,7.37,33.994,45.808,55.96,29.91,15.0462,14.9546
18.01.2005,1624.36,1613.86,12.25,10.99,12.46,12.25,24.06,23.84,7.55,7.28,34.367,46.462,55.7,30.12,14.8073,15.0808
19.01.2005,1629.18,1618.67,12.26,11.11,12.48,12.37,24.38,24.24,7.51,7.25,34.59,46.475,56.26,30.6,14.8587,14.7935
20.01.2005,1604.83,1594.38,12.04,10.85,12.22,12.07,24.15,24,7.4,7.17,34.336,46.186,56.76,30.17,14.4165,14.6756
21.01.2005,1606.78,1599.79,12,10.82,12.22,12.08,23.79,23.72,7.48,7.23,34.237,46.064,56.72,30.52,14.5582,14.8052
24.01.2005,1612.4,1598.38,11.8,10.72,12.13,12.02,23.68,23.61,7.41,7.13,34.174,46.029,56.95,30.46,14.6216,14.6086
25.01.2005,1605.01,1594.57,11.81,10.74,12.24,12.09,23.69,23.69,7.4,7.14,34.616,46.328,57.59,30.15,14.3429,14.4465
