date,APMOLLER_B,APMOLLER_A,INDUSTRIVARDEN_A,INDUSTRIVARDEN_C,INVESTOR_B,INVESTOR_A,SVENSKAHANDBKN_A,SVENSKAHANDBKN_B,VOLVO_B,VOLVO_A,VW_PREF,VW,HYUNDAI,HYUNDAI_PREF,STORAENSO_R,STORAENSO_A
08.09.2004,972.16,1156.58,367.23,68.36,184.06,520.21,617.49,147.56,653.62,622.63,198.02,1277.31,1.95,0.13,581.42,434.37
09.09.2004,982.06,1168.55,367.22,68.33,183.52,516.94,615.66,147.61,649.84,618.8,199.28,1290.6,1.97,0.14,580.58,435.76
10.09.2004,1003.93,1194.89,372.99,69.15,186.94,528.37,623.04,148.38,651.38,621.27,203.79,1321.48,2.04,0.15,586.82,444.5
13.09.2004,1001.9,1200.88,375.4,69.67,186.12,526.03,626.47,150.21,667.17,635.77,207.63,1352.07,2.1,0.15,582.13,442.59
14.09.2004,1007.05,1207.1,377.91,69.61,186.68,527.64,626.31,150.17,666.7,635.23,207.35,1352.1,2.11,0.15,577.88,445.95
15.09.2004,1000.51,1202.1,373.75,69.13,184.57,518.25,611.1,146.02,654.55,621.13,201.28,1302.42,2.21,0.15,566.12,433.02
16.09.2004,1004.43,1209.64,371.43,68.66,185.35,522.18,609.64,146.65,645.32,616.85,203.15,1308.47,2.17,0.15,570.11,424.76
17.09.2004,1011.05,1212.16,372.96,68.94,187.32,529.51,612.16,147.25,636.86,604.7,200.88,1297.27,2.18,0.15,575.65,429.68
20.09.2004,1005.26,1205.12,373.8,69.64,185.93,525.52,611.49,146.1,642.01,610.98,202.85,1291.45,2.21,0.15,577.54,429.08
21.09.2004,1023.29,1232.48,380.49,70.38,189.12,532.84,617.97,147.65,655.08,623.65,205.09,1308.88,2.14,0.15,585.35,435.29
22.09.2004,1019.54,1225.15,379.62,70.22,189.3,531.61,618.62,147.31,647.33,616.03,203.46,1281.78,2.08,0.15,581.87,435.12
23.09.2004,1019.75,1222.55,382.25,70.98,190.61,535.29,616.65,147.83,641.74,610.33,203.22,1274.81,2.06,0.14,584.03,439.18
24.09.2004,1030.96,1239.04,380.75,70.7,189.25,531.45,616.31,147.25,636.72,606.7,201.84,1275.04,2.06,0.14,581.03,436.93
27.09.2004,1031.3,1236.61,381.48,70.56,185.93,525.47,613.34,146.53,634.18,600.41,202,1256.92,2.06,0.14,578.72,436.45
28.09.2004,1032.18,1240.45,377.45,70.3,186.58,523.8,615.53,147.05,639.32,609.22,200.13,1264.4,2.06,0.14,586.48,436.94
29.09.2004,1043.81,1254.62,385.05,71.27,190.64,540.64,637.58,152.37,649.39,619.14,200.61,1272.67,2.06,0.14,599.67,447.16
30.09.2004,1061.94,1270.93,389.93,72.75,192.37,545.56,641.28,153.76,652.76,622.26,201.88,1264.44,2.06,0.14,599.89,449.79
01.10.2004,1066.78,1285.3,399.78,74.74,197.42,556.43,652.07,155.35,665.75,633.85,203.85,1280.96,2.17,0.15,615.68,461.94
04.10.2004,1066.67,1282.54,399.62,74.79,194.04,548.61,649.14,155.17,672.68,641.07,204.28,1293.78,2.3,0.16,607.41,461.41
05.10.2004,1073.07,1293.07,403.22,75.48,196.35,555.18,654.84,156.54,689.03,655.87,204.95,1296.16,2.36,0.16,603.11,448.9
06.10.2004,1077.24,1292.56,401.76,75.46,195.69,549.79,652.61,156.5,680.06,648.24,214.56,1389.01,2.29,0.16,613.35,448.8
07.10.2004,1084.82,1310.19,402.07,75.54,195.79,550.09,646.72,155.59,673.23,640.3,214.33,1382.89,2.33,0.16,605.35,458.27
08.10.2004,1084.93,1313.02,408.08,76.71,196.75,554.54,654.06,156.85,676.15,644.24,220.1,1389.42,2.33,0.16,618.4,465.19
11.10.2004,1088.89,1309.44,407.59,76.61,195.9,553.88,655.37,156.66,680.4,645.97,215.44,1371.18,2.3,0.15,623.22,453.65
12.10.2004,1084.93,1313.09,405.97,76.33,193.24,546.32,644.33,154.01,667.89,636.27,211.44,1348.97,2.22,0.15,615.75,451.8
13.10.2004,1079.07,1300.42,405.96,75.25,193.2,544.47,646.3,154.49,666.88,634.12,217.1,1370.71,2.26,0.15,619.14,450.29
14.10.2004,1080.99,1316.68,409.13,76.94,193.47,548.71,651.33,156.2,661.99,629.07,221.16,1395,2.3,0.15,620,468.42
15.10.2004,1077.02,1300.5,416.07,77.74,194.17,547.15,653.68,155.74,669.05,638.39,225.05,1425.48,2.26,0.15,621.09,463.11
18.10.2004,1068.48,1292.91,423.33,78.62,195.59,549.4,654.26,156.89,670.53,641.02,228.03,1431.73,2.27,0.15,620.14,464.47
19.10.2004,1070.75,1301.36,423.32,78.62,199.32,561.83,652.13,156.38,675.6,642.26,234.32,1454.35,2.32,0.16,631.24,475.2
20.10.2004,1047.86,1267.74,422.74,79.01,200.4,563.05,659.83,157.71,686.52,654.12,235.68,1462.4,2.22,0.15,616.61,464.36
21.10.2004,1050.61,1265.35,424.67,78.29,201.87,569.05,656.36,156.88,671,638.81,231.91,1440.38,2.17,0.15,626.29,457.82
22.10.2004,1076.24,1293.68,419.71,77.56,200.92,566.33,659.48,158.14,677.16,646.14,233.84,1409.36,2.09,0.15,642.02,483.69
25.10.2004,1064.78,1285.32,421.11,78.03,198.54,559.42,659.73,159.23,668.05,639.37,232.25,1417.06,2.02,0.15,635.75,485
26.10.2004,1045.61,1261.98,424.4,78.09,201.33,567.38,664.83,158.37,680.17,647.38,236.02,1433.78,2.09,0.15,635.14,478.22
27.10.2004,1047.73,1267.46,430.62,79.62,202.86,569.89,665.63,159.61,698.01,665.02,237.37,1445.96,2.09,0.15,627.58,478.07
28.10.2004,1037.88,1255.49,427.88,79.12,200.3,564.46,667.87,159.11,694.88,664.66,239.06,1460.79,2.14,0.15,617.91,468.75
29.10.2004,1020.45,1228.48,424.56,78.46,200.07,563.81,660.64,159.45,697.98,667.75,236.9,1461.2,2.17,0.15,631.88,472.41
01.11.2004,1045.88,1259.44,428.3,78.62,203.04,570.45,670.67,160.31,708.58,676.9,241.13,1482.88,2.16,0.15,638.18,475.42
02.11.2004,1037.38,1257.79,431.55,78.75,205.07,578.11,671.22,160.45,705.92,674.41,243.56,1510.16,2.21,0.16,637.02,474.97
03.11.2004,1057.65,1279.52,438.05,80.56,209.36,590.29,679.06,162.85,710.59,678.82,240.66,1476.67,2.26,0.16,642.66,476.21
04.11.2004,1061.94,1287.62,438.05,79.96,209.4,588.56,683.44,163.38,719.46,686.23,239.91,1473.41,2.24,0.16,645.63,485.64
05.11.2004,1081.19,1311.05,444.56,81.26,211.7,596.95,693.37,165.78,726.01,691.37,242.84,1493.71,2.27,0.16,644.79,483.75
08.11.2004,1082.13,1306.3,445.75,81.48,211.63,596.72,686.52,164.12,731.91,699.74,243.09,1496.89,2.22,0.16,638.66,483.05
09.11.2004,1079.11,1305.59,443.8,81.41,211.34,594.11,687.86,165.49,726.09,692.79,242.41,1498.23,2.21,0.16,638.02,476.59
10.11.2004,1077.08,1306.04,447.93,82.48,214.56,605.06,700.76,167.55,735.76,702.21,244.84,1509.15,2.18,0.15,651.33,482.22
11.11.2004,1087.29,1321.42,450.83,82.46,217.2,614.42,698.66,167.04,736.84,704.5,245.87,1518.95,2.19,0.15,656.55,490.79
12.11.2004,1087.93,1319.25,458.83,83.71,220.91,621.24,710.93,170.52,744.13,710.19,245.91,1519.49,2.26,0.16,664.17,496.04
15.11.2004,1088.61,1320.08,464.18,84.78,223.34,628.18,705.83,169.29,751.08,718.34,244.36,1511.23,2.26,0.16,660.06,495.55
16.11.2004,1096.41,1332.51,464,84.71,222.65,628.03,701.11,167.61,747.78,713.68,241.02,1487.74,2.21,0.16,656.75,486.67
17.11.2004,1114.96,1346.21,473.08,86.24,226.08,635.94,717.13,170.4,756.34,722.13,244.49,1500.39,2.24,0.16,668.95,494.44
18.11.2004,1114.53,1339.82,469.57,86.72,226.44,637.01,711.79,170.19,754.05,717.25,243.82,1496.28,2.2,0.16,663.08,493.95
19.11.2004,1118.2,1347.16,469.78,86.12,222.69,624.36,712.1,171.33,755.06,720.72,244.16,1489.25,2.22,0.16,666.63,497.89
22.11.2004,1104.57,1327.62,464.15,84.71,221.45,622.71,710.22,170.34,743.65,708.17,243.09,1483.17,2.18,0.16,660.62,489.11
23.11.2004,1120.72,1353.17,470.24,85.32,224.23,632.5,719.51,172.58,746.36,712.08,242.29,1466.76,2.23,0.16,668.13,501.17
24.11.2004,1141.67,1378.62,469,84.97,222.47,627.41,733.47,174.85,741.54,705.7,241.97,1472.7,2.28,0.16,678.83,500.89
25.11.2004,1133.94,1378.15,473.2,87.27,225.09,642.5,749.04,178.59,751.3,716.55,243.13,1490.25,2.29,0.16,701.12,529.69
26.11.2004,1135.76,1371.33,468.62,86.62,227.11,640.58,758.11,181.32,752.17,715.97,243.11,1494.74,2.24,0.16,694.56,525.25
29.11.2004,1137.91,1373.92,473.08,87.5,228.49,646.42,753.61,180.23,758.64,720.92,243.98,1495.5,2.18,0.16,705.95,530.24
30.11.2004,1133.3,1374.34,472.72,87.45,224.24,636.21,746.1,178.43,754.29,719.45,243.37,1480.63,2.2,0.15,709.11,526.44
01.12.2004,1156.79,1387.84,482.55,89.12,228.67,645.02,763.37,182.59,752.87,716.64,246.32,1495.55,2.18,0.16,699.92,531.47
02.12.2004,1158.65,1393.18,479.01,88.17,228.33,644.1,757.78,181.26,751.45,715.44,247.13,1498.5,2.2,0.16,686.84,512.51
03.12.2004,1152.49,1385.54,483.3,89.51,227.07,642.33,760.16,182.91,740.73,705.77,247.01,1512.01,2.21,0.16,686.09,514.17
06.12.2004,1152.53,1394.65,484.14,89.95,228.86,643.52,759.26,181.58,751.32,717.49,246.37,1500.31,2.23,0.16,689,516.36
07.12.2004,1147.49,1376.31,483.96,89.92,235.58,662.71,768.19,183.74,757.99,721.35,244.59,1498.16,2.17,0.16,692.6,515.93
08.12.2004,1111.21,1332.38,478.04,87.69,226.53,638.99,758.49,180.89,740.38,707.24,244.13,1502.56,2.17,0.16,674.33,503.65
09.12.2004,1088.13,1310.32,471.87,87.05,225.75,632.97,749.1,178.62,733.2,697.45,242,1489.3,2.14,0.16,676.81,499.8
10.12.2004,1073.02,1288.93,470.36,86.77,226.36,638.54,755.7,180.22,729.51,693.88,241.93,1464.38,2.1,0.15,684.95,504.56
13.12.2004,1096.5,1317.44,481.56,88.64,229.54,649.45,773.19,184.42,740.35,705.66,243.21,1488.04,2.15,0.15,677.64,513.13
14.12.2004,1092.4,1309.46,479.68,88.59,226.64,639.27,763.36,182.05,736.08,701.54,243.94,1473.35,2.21,0.15,679.87,514.79
15.12.2004,1108.73,1329.12,482.61,89.11,227.39,637.48,772.71,183.74,751.17,714.86,244.49,1495.78,2.24,0.16,679.21,507.75
16.12.2004,1082.99,1307.03,482.48,88.26,225.22,635.22,765.34,183.08,728.97,691.8,243.5,1484.21,2.25,0.16,672.37,502.19
17.12.2004,1070.46,1288.79,480.17,88.71,220.17,620.82,757.26,182.22,716.81,682.52,241.44,1463.6,2.26,0.16,666.62,504.91
20.12.2004,1087.67,1312.63,494.59,91.19,226.7,637.43,772.69,184.28,720.15,685.44,241.76,1466.43,2.27,0.16,684.46,510.76
21.12.2004,1118.92,1353.77,497.73,90.67,226.74,639.52,770.52,184.87,721.51,688.3,241.46,1473.53,2.26,0.16,691.72,513.95
22.12.2004,1135.41,1364.72,502.07,92.18,227.33,645.06,779.34,185.9,739.71,706.41,245.34,1500.66,2.24,0.16,691.1,515.25
23.12.2004,1147.37,1382.2,514.35,94.29,229.49,651.18,793.55,190.97,743.13,709.63,244.77,1502.16,2.25,0.16,695.31,523.74
24.12.2004,1150.09,1385.48,517.42,94.85,230.85,655.06,798.28,192.11,747.56,713.86,245.4,1506.04,2.28,0.16,697.1,525.1
27.12.2004,1152.01,1387.73,517.41,94.18,230.16,653.06,802.96,192.12,746.36,709.74,246.13,1508.73,2.24,0.16,701.46,526.13
28.12.2004,1140.31,1373.5,512.29,93.74,231.96,654.29,797.52,190.81,749.17,715.24,246.78,1497.56,2.23,0.16,681.72,511.89
29.12.2004,1147.18,1384.96,513.33,94.27,231.06,651.73,799.09,190.63,740.08,706.27,244.96,1486.31,2.35,0.17,677.25,514.39
30.12.2004,1147.98,1388.99,515.95,94.19,230.87,658.99,800.75,192.15,736.67,701.53,247.26,1496.04,2.43,0.17,681.85,519.65
